RESPAGE,LIFESAT,INFOSOU1,TRUMTVINFO,FATEINLF,BUSINRUS,BUSINTUR,BUSINGA,NEIGHBOR,USSRDISS,EUSUPP,EEUSUPNA,EEUNSUW,EEUSUPW,MAINFRN,MAINENEM,MAINMOD,PARTYSUPP,PARTYSUPF,WORKTYP,PERSINC,EDUYRS,RFAEDUC,RMOEDUC,RELGNEW,RELIMP,ECONSTN,MONYTOT
27.0,5.0,5.0,401.0,5.0,1.0,0.0,0.0,9.0,2.0,-1.0,-1.0,-7.0,-7.0,1.0,5.0,6.0,301.0,-7.0,-7.0,8.0,-3.0,4.0,4.0,1.0,4.0,5.0,8.0
35.0,5.0,5.0,-4.0,5.0,1.0,0.0,0.0,-5.0,-1.0,3.0,3.0,-7.0,-7.0,2.0,1.0,-5.0,-5.0,-5.0,1.0,6.0,9.0,5.0,5.0,3.0,4.0,2.0,6.0
26.0,8.0,4.0,-5.0,9.0,1.0,1.0,1.0,8.0,1.0,5.0,1.0,6.0,-7.0,2.0,5.0,2.0,-5.0,-1.0,4.0,6.0,18.0,7.0,7.0,3.0,2.0,3.0,5.0
32.0,7.0,8.0,-5.0,5.0,1.0,1.0,0.0,8.0,-1.0,5.0,1.0,7.0,-7.0,2.0,5.0,1.0,302.0,-7.0,-7.0,6.0,11.0,4.0,4.0,3.0,4.0,2.0,6.0
31.0,2.0,4.0,-1.0,2.0,0.0,1.0,0.0,6.0,2.0,5.0,-1.0,-7.0,-7.0,3.0,5.0,7.0,302.0,-7.0,-7.0,8.0,12.0,4.0,5.0,3.0,4.0,3.0,-2.0
28.0,5.0,8.0,-4.0,7.0,1.0,1.0,1.0,8.0,1.0,5.0,1.0,1.0,-7.0,-1.0,5.0,1.0,-2.0,-2.0,-7.0,9.0,9.0,4.0,4.0,3.0,3.0,3.0,6.0
30.0,7.0,5.0,-4.0,5.0,1.0,0.0,0.0,5.0,-1.0,4.0,3.0,-7.0,-7.0,10.0,5.0,10.0,301.0,-7.0,-7.0,9.0,12.0,5.0,5.0,3.0,3.0,1.0,-2.0
26.0,7.0,8.0,302.0,8.0,0.0,0.0,0.0,5.0,2.0,5.0,4.0,-7.0,-1.0,1.0,-5.0,1.0,-2.0,-2.0,4.0,-2.0,16.0,7.0,7.0,3.0,3.0,4.0,-2.0
23.0,5.0,4.0,-5.0,5.0,1.0,1.0,0.0,6.0,-1.0,3.0,2.0,-2.0,-7.0,-5.0,5.0,-1.0,-5.0,-5.0,-7.0,-2.0,12.0,4.0,4.0,3.0,3.0,3.0,-2.0
26.0,6.0,5.0,-4.0,3.0,1.0,1.0,-1.0,8.0,2.0,3.0,-1.0,-7.0,-7.0,1.0,-1.0,11.0,-2.0,-2.0,3.0,6.0,11.0,5.0,5.0,3.0,3.0,2.0,6.0
30.0,10.0,5.0,301.0,7.0,1.0,1.0,0.0,6.0,1.0,4.0,3.0,-7.0,-7.0,4.0,-5.0,6.0,301.0,-7.0,-7.0,9.0,16.0,4.0,7.0,3.0,4.0,3.0,5.0
35.0,5.0,4.0,-4.0,5.0,1.0,1.0,0.0,6.0,2.0,4.0,3.0,-7.0,-7.0,-1.0,-1.0,-1.0,-2.0,-2.0,5.0,-2.0,15.0,5.0,5.0,3.0,3.0,4.0,-2.0
29.0,5.0,4.0,301.0,5.0,1.0,1.0,0.0,6.0,1.0,3.0,2.0,2.0,-7.0,-5.0,-2.0,5.0,-5.0,-5.0,4.0,-2.0,16.0,7.0,7.0,3.0,3.0,2.0,-1.0
22.0,8.0,5.0,-4.0,5.0,1.0,1.0,0.0,8.0,-1.0,4.0,-1.0,-7.0,-7.0,1.0,-1.0,6.0,-5.0,-5.0,4.0,6.0,11.0,4.0,4.0,3.0,4.0,2.0,4.0
34.0,7.0,4.0,-1.0,10.0,1.0,1.0,0.0,6.0,1.0,4.0,4.0,-7.0,1.0,2.0,5.0,4.0,305.0,-7.0,4.0,5.0,14.0,4.0,4.0,3.0,4.0,3.0,5.0
35.0,9.0,4.0,-5.0,5.0,1.0,1.0,1.0,8.0,1.0,5.0,1.0,2.0,-7.0,1.0,5.0,11.0,-5.0,-5.0,4.0,-2.0,17.0,5.0,5.0,3.0,2.0,5.0,-2.0
27.0,6.0,5.0,-5.0,5.0,1.0,1.0,1.0,8.0,1.0,2.0,1.0,2.0,-7.0,-5.0,-1.0,6.0,-5.0,-5.0,4.0,5.0,20.0,7.0,7.0,3.0,4.0,4.0,4.0
20.0,10.0,4.0,301.0,5.0,0.0,1.0,0.0,8.0,-1.0,4.0,-1.0,-7.0,-7.0,-1.0,5.0,11.0,302.0,-7.0,-7.0,9.0,12.0,7.0,7.0,3.0,4.0,5.0,6.0
34.0,6.0,5.0,301.0,6.0,0.0,0.0,0.0,8.0,1.0,5.0,3.0,-7.0,-7.0,-5.0,5.0,6.0,301.0,-7.0,5.0,5.0,17.0,7.0,5.0,3.0,3.0,5.0,5.0
