,COUNTRY,ID,STRATUM,INDWT,RESPAGE,BUSINUSA,BUSINARM,BUSINAZE,BUSINITA,BUSINARA,BUSINIRA,BUSINJEW,BUSINKUR,BUSINTUR,BUSINUKR,BUSININD,BUSINFRE,BUSINCHI,BUSINABK,BUSINOSS,BUSINARG,BUSINAZG,BUSINCN,MARWUSA,MARWARM,MARWAZE,MARWITA,MARWARA,MARWGEO,MARWIRA,MARWJEW,MARWKUR,MARWRUS,MARWTUR,MARWUKR,MARWIND,MARWMOL,MARWFRE,MARWABK,MARWOSS,MARWARG,MARWAZG,MARWCN,QUALINF,TVSRVPP,FRQINTR,INTACEM,INTASKY,INTACFB,INTACSN,INTACFD,INTACBL,INTACIN,INTACSH,INTACNW,INTACEN,INTAGAME,INTABET,INTACDW,INTACOT,INTACPH,INTACCM,INTACTB,APPFB,APPINS,APPTW,APPYOUT,APPTIK,APPVKN,APPODN,NEWSSCM,MAPPFB,MAPPWTS,MAPPVB,MAPPTL,MAPPSIG,MAPPOT,NEWSMSN,SMEFF,WRDISINF,DSINFDOM,DSINFGP,DSINFCOV,DSINFELC,DSINFNKW,RLINFPUBL,RLINFINT,RLINFSRC,RLINFAUTH,RLINFTRS,RLINFSKEP,RLINFPOST,RLINFIGNR,RLINFURL,FLNWSENT,RLINFCOM,FLNWSPLAG,FLNWSCNF,FLNWSPOW,FLNWSINFL,FLNWSVIEW,FAILLTP,FAILLTPO,SUCCRK,SUCCRKO,FAILRK,FAILRKO,SUCCSS,SUCCSSO,FAILSS,FAILSSO,SUCCNP,SUCCNPO,FAILNP,FAILNPO,FAILNOW,FAILNOWO,USSRDISS,USSRPOIN,USSRPOWE,USSRPOCU,USSRPOHR,USSRPOCM,USSRPOFO,USSRPOEL,USSRPOEX,USSRPOTR,USSRPOLN,USSRPOOT,USSRNEEC,USSRNETI,USSRNEGHA,USSRNTRA,USSRNEWA,USSRNECC,USSRNESS,USSRNEWK,USSRNETR,USSRNEIN,USSRNEOT,INTLPOL,NATLPOL,IMPISS1,IMPISS1OS,IMPISS2,IMPISS2OS,PPLNOSAY,OFFPPLTH,TRUPARL,TRUEXEC,TRUPRES,VOTLEL2,ELCOND,VOTLELE,ELCOND2,NATOSUPP,NATNSUPWOS,NATOSUPW,EUSUPP,EUNSUPWOS,EUSUPWHY,EEUSUPNA,EEUSUPW,MAINMOD,MAINMODOS,PARTYSUPP,PARTYSUPPOS,REVEXP1,REVEXP2,GOVSAT2,GOVSAT3,NKWARKN,NKWARAV,NKWIMPPS,NKWIMPUF,NKWARRN,NK2FPA,NK2IC,NK2JG,NK2AA,NK2AWA,NK2WRF,NKPRTRLN,NKTLNS,EMPLSIT,UNEMYRS,INTSTJOB,LOOKJOB,JOBSTART,WORKTYP,WORKYRS,WORKSEC,JOBSATFN,ETHNIC,EDUYRS,RESPEDU,RFAEDUC,RMOEDUC,KNOWENG,COMPABL,SECNDLAAR,SECNDLAAP,SECNDLAHY,SECNDLAAS,SECNDLAAZ,SECNDLAAV,SECNDLANGKA,SECNDLANHE,SECNDLAEN,SECNDLAZA,SECNDLAFA,SECNDLAMR,SECNDLAOSS,SECNDLAPR,SECNDLARU,SECNDLASV,SECNDLATR,SECNDLAOT,RELGNEW,RELSERV,RELFAST,RELIMP,RELIMPARM,RESPDOB,RESEMPL,C19TEST,C19POS,C19MEDH,C19MDH,C19GTVAC,C19VACCD,C19VC,C19VCPHZ,C19VCAST,C19VCSNV,C19VCSNM,C19VCSPT,C19VCMDR,HH2RELR,HHM2SEX,HHM2DOB,HHM2POB,HHM2EMP,HHM2MAR,HH2MARAGE,HH2EDU,HH2C19TEST,HH2C19POS,HH2C19MEDH,HH2C19MDH,HH2C19GTVAC,HH2C19VACCD,HH2C19VC,HH2C19VCPHZ,HH2C19VCAST,HH2C19VCSNV,HH2C19VCSNM,HH2C19VCSPT,HH2C19VCMDR,HH2C19VACCOS,HH3RELR,HHM3SEX,HHM3DOB,HHM3POB,HHM3EMP,HHM3MAR,HH3MARAGE,HH3EDU,HH3C19TEST,HH3C19POS,HH3C19MEDH,HH3C19MDH,HH3C19GTVAC,HH3C19VACCD,HH3C19VC,HH3C19VCPHZ,HH3C19VCAST,HH3C19VCSNV,HH3C19VCSNM,HH3C19VCSPT,HH3C19VCMDR,HH3C19VACCOS,HH4RELR,HHM4SEX,HHM4DOB,HHM4POB,HHM4EMP,HHM4MAR,HH4MARAGE,HH4EDU,HH4C19TEST,HH4C19POS,HH4C19MEDH,HH4C19MDH,HH4C19GTVAC,HH4C19VACCD,HH4C19VC,HH4C19VCPHZ,HH4C19VCAST,HH4C19VCSNV,HH4C19VCSNM,HH4C19VCSPT,HH4C19VCMDR,HH4C19VACCOS,HH5RELR,HHM5SEX,HHM5DOB,HHM5POB,HHM5EMP,HHM5MAR,HH5MARAGE,HH5EDU,HH5C19TEST,HH5C19POS,HH5C19MEDH,HH5C19MDH,HH5C19GTVAC,HH5C19VACCD,HH5C19VC,HH5C19VCPHZ,HH5C19VCAST,HH5C19VCSNV,HH5C19VCSNM,HH5C19VCSPT,HH5C19VCMDR,HH5C19VACCOS,HH6RELR,HHM6SEX,HHM6DOB,HHM6POB,HHM6EMP,HHM6MAR,HH6MARAGE,HH6EDU,HH6C19TEST,HH6C19POS,HH6C19MEDH,HH6C19MDH,HH6C19GTVAC,HH6C19VACCD,HH6C19VC,HH6C19VCPHZ,HH6C19VCAST,HH6C19VCSNV,HH6C19VCSNM,HH6C19VCSPT,HH6C19VCMDR,HH6C19VACCOS,HH7RELR,HHM7SEX,HHM7DOB,HHM7POB,HHM7EMP,HHM7MAR,HH7MARAGE,HH7EDU,HH7C19TEST,HH7C19POS,HH7C19MEDH,HH7C19MDH,HH7C19GTVAC,HH7C19VACCD,HH7C19VC,HH7C19VCPHZ,HH7C19VCAST,HH7C19VCSNV,HH7C19VCSNM,HH7C19VCSPT,HH7C19VCMDR,HH7C19VACCOS,HH8RELR,HHM8SEX,HHM8DOB,HHM8POB,HHM8EMP,HHM8MAR,HH8MARAGE,HH8EDU,HH8C19TEST,HH8C19POS,HH8C19MEDH,HH8C19MDH,HH8C19GTVAC,HH8C19VACCD,HH8C19VC,HH8C19VCPHZ,HH8C19VCAST,HH8C19VCSNV,HH8C19VCSNM,HH8C19VCSPT,HH8C19VCMDR,HH8C19VACCOS,HH9RELR,HHM9SEX,HHM9DOB,HHM9POB,HHM9EMP,HHM9MAR,HH9MARAGE,HH9EDU,HH9C19TEST,HH9C19POS,HH9C19MEDH,HH9C19MDH,HH9C19GTVAC,HH9C19VACCD,HH9C19VC,HH9C19VCPHZ,HH9C19VCAST,HH9C19VCSNV,HH9C19VCSNM,HH9C19VCSPT,HH9C19VCMDR,HH9C19VACCOS,HH10RELR,HHM10SEX,HHM10DOB,HHM10POB,HHM10EMP,HHM10MAR,HH10MARAGE,HH10EDU,HH10C19TEST,HH10C19POS,HH10C19MEDH,HH10C19MDH,HH10C19GTVAC,HH10C19VACCD,HH10C19VCPHZ,HH10C19VCAST,HH10C19VCSNV,HH10C19VCSNM,HH10C19VCSPT,HH10C19VCMDR,HH10C19VACCOS,HH11RELR,HHM11SEX,HHM11DOB,HHM11POB,HHM11EMP,HHM11MAR,HH11MARAGE,HH11EDU,HH11C19TEST,HH11C19POS,HH11C19MEDH,HH11C19MDH,HH11C19GTVAC,HH11C19VACCD,HH11C19VCPHZ,HH11C19VCAST,HH11C19VCSNV,HH11C19VCSNM,HH11C19VCSPT,HH11C19VCMDR,HH11C19VACCOS,HH12RELR,HHM12SEX,HHM12DOB,HHM12POB,HHM12EMP,HHM12MAR,HH12MARAGE,HH12EDU,HH12C19TEST,HH12C19POS,HH12C19MEDH,HH12C19MDH,HH12C19GTVAC,HH12C19VACCD,HH12C19VCPHZ,HH12C19VCAST,HH12C19VCSNV,HH12C19VCSNM,HH12C19VCSPT,HH12C19VCMDR,HH12C19VACCOS,HH13RELR,HHM13SEX,HHM13DOB,HHM13POB,HHM13EMP,HHM13MAR,HH13MARAGE,HH13EDU,HH13C19TEST,HH13C19POS,HH13C19MEDH,HH13C19MDH,HH13C19GTVAC,HH13C19VACCD,HH13C19VCPHZ,HH13C19VCAST,HH13C19VCSNV,HH13C19VCSNM,HH13C19VCSPT,HH13C19VCMDR,HH13C19VACCOS,HH14RELR,HHM14SEX,HHM14DOB,HHM14POB,HHM14EMP,HHM14MAR,HH14MARAGE,HH14EDU,HH14C19TEST,HH14C19POS,HH14C19MEDH,HH14C19MDH,HH14C19GTVAC,HH14C19VACCD,HH14C19VCPHZ,HH14C19VCAST,HH14C19VCSNV,HH14C19VCSNM,HH14C19VCSPT,HH14C19VCMDR,HH14C19VACCOS,OWNCOTV,OWNWASH,OWNFRDG,OWNAIRC,OWNCARS,OWNLNDP,OWNTAB,OWNHWT,OWNCHTG,OWNMCR,OWNDISH,OWNCELL,OWNPCELL,CELLINTH,OWNCOMP,WEBHOMEH,TVACCESS,NOMONFD,INCSOUCO,INCSOUAB,INCSOUAG,INCSOUSL,INCSOUGO,INCSOURE,INCSOUPR,INCSOUIN,INCSOUOT,MONYTOT,SPENDMO,SAVINGS,DEBTSHH,FOODDBT,UTILDBT,RELCOND,HELPC,LISTENO,FRQUNDST,RESPINL,ATTEND,SUBSTRATUM,PSU,HHSIZE,HHASIZE,INTID,C1_R,C1_DATE,C1_TIME,C2_R,C2_DATE,C2_TIME,C3_R,C3_DATE,C3_TIME,INT_DATE,INT_START,INT_END,INT_DUR,INTLANG,NPSUSS,NHHPSU,NADHH,HHWT
COUNTRY,,0.9882508805432582,,,,,,0.5942786105457165,,,,,,,,,,,,,,,,,,,,,0.5454507328198245,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.5000207594349834,,,-0.5762326754650304,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.6081454118625289,,,,-0.7440827610824269,-0.6901308179583343,-0.6378295780524403,-0.6082925540041407,-0.6052189381510823,-0.6689581210198073,-0.7157904459390646,,,,,,,,,,,0.8870987306906751,,,,,,,,,,,,,,,,,,,,,,,,,0.5939066447777198,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5240877126960022,0.5762318244206021,,,,,,,,,,,,,,,,,,,,0.6160669076195472,0.7021532588415909,0.7540618116275457,,0.6202874747440641,0.6694124008255443,,,,,,,,,,,,,0.7643104806766121,0.707572213479801,0.5172198628961056,0.5700587726412139,0.7691782450942568,0.8624884244865935,0.8898156165328017,,0.7848434367851654,0.9117868750385422,,,,,,,,,,0.6105429210722574,,0.6057515265089621,0.9085375061059602,0.9119203654996679,0.7385700603138423,0.7769236547531673,0.8818422310432633,0.9298181946286596,0.9552373206962916,,0.8909527857137609,0.9597606545711305,,,,,,,,,0.5584985716117857,0.7528367619193947,,0.7647515494437881,0.9639568509369059,0.9643130573125759,0.98067594973017,0.8754110664162582,0.9306405130181706,0.9769025916008713,0.9862360233259322,,0.9345569769274272,0.9862360233259322,,,,,,,,,0.6346345661804564,0.8398000527802308,,0.8490702049644184,0.9817332631032244,0.974684151976212,0.9912472176033064,0.9480693409509602,0.9640086835501117,0.9904308531224431,0.9968642155056449,,0.9670402762527132,0.9968642155056449,,,,,,,,0.7891401070362914,0.9153970778868654,,0.9210430990746207,0.9911145640713125,0.9987445878063952,0.9987445878063952,0.972246777911867,0.9889816476592052,0.9922998070595711,0.9987445878063952,,0.9922998070595711,0.9987445878063952,,,,,,,,0.9186221419828782,0.9756180421912356,,0.979384318315332,0.9987445878063952,0.9987445878063952,0.9987445878063952,0.9889816476592052,0.9922998070595711,0.9987445878063952,0.9987445878063952,,0.9922998070595711,0.9987445878063952,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.5685946933556344,,,,,,,,,,,,,,,,,,,,,,,,0.9960249976925799,-0.679379045123833,,,0.8075177874983165,,-0.9999997401529024,0.9999999999991921,,,,,,,-0.9999997412150881,0.9893830656091354,0.989383068408212,0.9893829749842211,0.9797557657473501,,,,
ID,0.9882508805432582,,,,,,,0.5861671310096535,,,,,,,,,,,,,,,,,,,,,0.5468869261632279,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.5730929258438895,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.6009880275944824,,,,-0.7366255179208204,-0.6819020966512525,-0.6300963321388628,-0.6008066211001399,-0.5980446131788819,-0.6622055131822329,-0.7063378977580315,,,,,,,,,,,0.8742274590715482,,,,,,,,,,,,,,,,,,,,,,,,,0.5810207430309164,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5216358383151194,0.5702909943985522,,,,,,,,,,,,,,,,,,,,0.6112284176301924,0.6934602334893993,0.74629755755504,,0.6154248702329252,0.6609963956638403,,,,,,,,,,,,,0.7527579231191087,0.6968202365748403,0.5096642643242848,0.5615900389593348,0.75979149450696,0.8524613116347393,0.8797838336550874,,0.775088065487548,0.9001220541489356,,,,,,,,,,0.6006988815613727,,0.5957507759770969,0.8969916174230793,0.9000800916206159,0.7277259707354128,0.7662970717755198,0.8703819372100037,0.9192423736384184,0.9448185338433363,,0.879417543148398,0.948707133022294,,,,,,,,,0.5521901520893632,0.7441247368497855,,0.755600088564743,0.9518349940351546,0.9524631169909493,0.9686465477919359,0.8649452028920043,0.9197571473818019,0.9652486821888838,0.9742745419063972,,0.9236021777215745,0.9742745419063972,,,,,,,,,0.629126372401441,0.8308927983931353,,0.8399877085040676,0.9698381449919057,0.9628355950873123,0.9792185403706257,0.937663717893728,0.9532069963605202,0.9788396336050331,0.9849035851142208,,0.9561644606894091,0.9849035851142208,,,,,,,,0.7800334046977716,0.9047205014285706,,0.9101141534243556,0.9798186363949284,0.9870674054123709,0.9870674054123709,0.9610797570117097,0.9771929790532071,0.9804997565260812,0.9870674054123709,,0.9804997565260812,0.9870674054123709,,,,,,,,0.9075794035800989,0.9640086607513283,,0.9677579862855389,0.9870674054123709,0.9870674054123709,0.9870674054123709,0.9771929790532071,0.9804997565260812,0.9870674054123709,0.9870674054123709,,0.9804997565260812,0.9870674054123709,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.5581605886418789,,,,,,,,,,,,,,,,,,,,,,,,0.9799689315224709,-0.7281916979376865,,,0.80170833929057,,-0.9882397769976583,0.9882509100630824,,,,,,,-0.9882398761024487,0.9778388127988868,0.9778388187700195,0.9778386962712311,0.9685702966100864,0.5054409975789251,,,
STRATUM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.6416722073578104,,
INDWT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6292799668082373
RESPAGE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.5332734991811646,-0.523781281631908,-0.5248401692058345,-0.5333916449597851,-0.5290820981179231,-0.5266091821914672,-0.5299232318476081,-0.528519537477833,-0.5182887268697243,-0.5299505987411913,-0.5256562256366268,-0.5264861883364662,-0.5265208212286508,-0.5255118139945829,-0.5345562405409344,-0.5195368726253157,-0.5246240017640219,-0.5327164107502483,-0.5614641918444162,-0.5298963930801986,-0.5390226525864853,-0.5429687413656876,-0.5304974392145888,-0.5235300015492039,-0.5310883852336767,-0.5422495889894395,-0.5484810438267324,-0.540425856712237,-0.5440117850318414,-0.5284058143352551,-0.5251390875258279,-0.5430092873325053,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.9997121279701993,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BUSINUSA,,,,,,,0.5393405039784288,,0.6505572929937209,0.5356271538368951,0.5494543842925508,,0.5066107276681407,,0.5013878217137966,0.5401212915469309,0.6084118996251539,0.5187188660409954,0.5350056081556058,0.5385877381902846,,,0.6294773604501721,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BUSINARM,,,,,,0.5393405039784288,,0.6102041339864662,0.5303597548326018,0.5670633155824123,0.592713498616081,0.5423933208761579,0.565673393565075,0.5794261610098973,0.5258086352308683,0.5858138062771439,,,0.512875647985178,0.5768741991514846,0.6665563713445707,0.5317482110621509,0.6197778753363081,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BUSINAZE,0.5942786105457165,0.5861671310096535,,,,,0.6102041339864662,,,,,,,0.7479916113346189,,,,,0.5750285379835158,0.6163450887158815,0.5443455197127725,0.7190012717068163,0.6483978384621977,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5279697101919132,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5125798761325646,0.5244230817480353,,,0.5323913767274576,,,,,,,,,,,,,0.5352586048470177,0.5366772538220619,,,0.5199763543331204,0.559124447677366,0.5664231019415481,,0.5243250726045227,0.5677249724647857,,,,,,,,,,,,,0.5686051890938462,0.5678295760518578,0.5797028222139985,0.5128597820375226,0.5465805430845623,0.5848117470119092,0.586778217136398,,0.5483937399637457,0.586778217136398,,,,,,,,,,,,,0.5781984284626199,0.5727582361686636,0.5847386683417022,0.56132462783372,0.5700458831464895,0.5904478431588928,0.591852117058542,,0.5715010266667109,0.591852117058542,,,,,,,,,0.5437516909265874,,0.5470216923157315,0.5880111326818136,0.5928355904687668,0.5928355904687668,0.5795749639524982,0.5897903534254769,0.591425852436879,0.5928355904687668,,0.591425852436879,0.5928355904687668,,,,,,,,0.5494455976725232,0.5818348091047916,,0.5837414777470206,0.5928355904687668,0.5928355904687668,0.5928355904687668,0.5897903534254769,0.591425852436879,0.5928355904687668,0.5928355904687668,,0.591425852436879,0.5928355904687668,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5924198187266209,,,,,,-0.5942692649284466,0.594278614784485,,,,,,,-0.5942689052743769,0.5853549894417841,0.585354979227583,0.5853549050101902,0.5787587902709154,,,,
BUSINITA,,,,,,0.6505572929937209,0.5303597548326018,,,0.540612593367024,0.5484320179113742,,,,0.5182217481005863,0.5545906497839366,0.6381550721692186,0.6314357772664924,0.5701735426697195,0.5431689421945876,,0.5164826993090409,0.6270491575069499,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BUSINARA,,,,,,0.5356271538368951,0.5670633155824123,,0.540612593367024,,0.6836630214730205,0.5137408678398517,0.5515482614072811,,,0.6329819906472739,,0.5024455211241785,0.5783926762303938,0.565807379685445,0.5185977398379893,0.5104544975835236,0.8059675911971926,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
