Variable 1,Variable 2,Correlation
COUNTRY,ID,0.763992865462813
COUNTRY,PARTYSUPP,0.73095844682089
COUNTRY,PARTYSUPS,0.7182537919275188
COUNTRY,ETHNIC,0.8494716513488983
COUNTRY,RESPTAP,0.8213748957214924
COUNTRY,HHM2TAP,0.7655925707934323
COUNTRY,HHM3TAP,0.8910125270431525
COUNTRY,HHM4TAP,0.9085324256143114
COUNTRY,HHM8MRAGE,-0.8183170883849715
COUNTRY,HHM12SEX,-1.0
COUNTRY,SUBSTRATUM,0.9996594559376609
COUNTRY,C1_DATE,-0.9963164323125742
COUNTRY,C1_TIME,0.9999999999588591
COUNTRY,C2_TIME,0.9999999897760504
COUNTRY,C3_DATE,0.924169024445821
COUNTRY,C3_TIME,0.999999998860165
COUNTRY,INT_DATE,-0.9962470129439509
COUNTRY,INT_START,0.9999999999540334
COUNTRY,INT_END,0.9999999988001999
COUNTRY,INT_DUR,0.9999999990465617
COUNTRY,PSU,0.763992864206972
COUNTRY,INTLANG,0.9553029152038179
ID,COUNTRY,0.763992865462813
ID,RESPTAP,0.7719608927059445
ID,HHM2TAP,0.7655655673765464
ID,HHM3TAP,0.857818776070778
ID,HHM4TAP,0.8319650503749396
ID,HHM8MRAGE,-0.9041809982638604
ID,HHM12SEX,-0.9996395306297555
ID,SUBSTRATUM,0.7721232397661232
ID,C1_DATE,-0.7610245294512558
ID,C1_TIME,0.7639923764871823
ID,C2_TIME,0.7639923997799126
ID,C3_TIME,0.7639924592438236
ID,INT_DATE,-0.7622845851502137
ID,INT_START,0.7639925170180608
ID,INT_END,0.7639923856593155
ID,INT_DUR,0.7639927720955462
ID,PSU,1.0000000000000004
ID,INTLANG,0.7306241019793313
SETTYPE,EUNSUPO,-0.7745966692414834
SETTYPE,HHM11DOB,0.705462390987797
SETTYPE,HHM12RELR,-0.8660254037844387
SETTYPE,HHM12DOB,0.9933992677987828
SETTYPE,HHM12EDU,-1.0
SETTYPE,HHM13RELR,0.987829161147262
SETTYPE,HHM13DOB,0.9853292781642911
SETTYPE,HHM13EDU,-1.0
INDWT,PARTYSUSO,-1.0
INDWT,HHM5TAP,0.7082426427507145
INDWT,HHM7TRP,-1.0
INDWT,HHM9MAR,-1.0
INDWT,HHM11MAR,-1.0
INDWT,HHM12SEX,0.8969777957333342
INDWT,HHM12DOB,-0.8896010930527184
INDWT,HHM12EDU,0.8313375957500825
INDWT,HHM13RELR,-0.9076651677685288
INDWT,HHM13DOB,-0.9139908426179991
INDWT,HHM13EDU,0.8313375957500825
RESPSEX,PARTYSUSO,-1.0
RESPSEX,HHM12RELR,-0.8660254037844387
RESPAGE,AGEGROUP,0.9170397019018658
RESPAGE,PARTYSUSO,-1.0
RESPAGE,RESPDOB,-0.9992626003597744
RESPAGE,HHM9TRW,-0.8383667342679632
RESPAGE,HHM9MAR,-1.0
RESPAGE,HHM12RELR,-0.8170571691028833
AGEGROUP,RESPAGE,0.9170397019018658
AGEGROUP,RESPDOB,-0.9158677557049214
AGEGROUP,HHM9TRW,-0.8017837257372731
AGEGROUP,HHM12RELR,-0.8660254037844385
ACTCHORE,HHM11MAR,-1.0
ACTRESDT,EUNSUPO,-0.7745966692414834
ACTRESDT,FLMANDSO,-0.7489684438839196
ACTRESDT,HHM9MAR,-1.0
ACTRESDT,HHM12RELR,0.8660254037844385
ACTRESDT,HHM12DOB,-0.9933992677987827
ACTRESDT,HHM12EDU,0.9999999999999999
ACTRESDT,HHM13RELR,-0.9878291611472619
ACTRESDT,HHM13DOB,-0.9853292781642911
ACTRESDT,HHM13EDU,0.9999999999999999
ACTCLEAN,PARTYSUSO,-1.0
ACTCLEAN,HHM7TRP,-1.0
ACTCLEAN,HHM12SEX,-1.0
ACTREST,PARTYSUSO,-1.0
ACTVLNT,HHM6TRP,-0.8017837257372731
ACTVLNT,HHM9MAR,-1.0
ACTVLNT,HHM11MAR,-1.0
ACTVLNT,HHM12RELR,0.8660254037844385
ACTCOMM,EUNSUPO,-0.9449111825230679
ACTDNCH,PARTYSUSO,-1.0
ACTDNCH,HHM6TRP,-0.8017837257372731
ACTDNCH,HHM9MAR,-1.0
ACTNRCHN,PARTYSUSO,-1.0
ACTNRCHN,HHM7TRP,-1.0
ACTNRCHN,HHM12RELR,0.8660254037844385
ACTPBLM,EUNSUPO,-0.8944271909999159
ACTPBLM,HHM6TRP,-0.8017837257372731
ACTSPET,HHM12SEX,-1.0
ACTDON,HHM9DOB,-0.8683611371480954
ACTDON,HHM10DOB,-0.9188387142213159
ACTDON,HHM10EDU,0.7624928516630234
ACTDON,HHM11DOB,-0.8943183203049722
ACTDON,HHM11EDU,0.8944271909999159
ACTDON,HHM12DOB,-1.0
ACTDON,HHM13RELR,-1.0
ACTDON,HHM13DOB,-1.0
RATEHAP,HHM9MAR,-1.0
RATEHAP,HHM12RELR,-0.7559289460184544
EMONOW,HHM9DOB,-0.7340045714612607
EMONOW,HHM10DOB,-0.7046251585971892
EMONOW,HHM10EDU,0.8040023809923519
EMONOW,HHM11DOB,-0.8153031626319928
EMONOW,HHM11EDU,0.8249579113843054
EMONOW,HHM12DOB,-1.0
EMONOW,HHM13RELR,-1.0
EMONOW,HHM13DOB,-1.0
GALLTRU,ENVPROBO,0.7257976303838014
GALLTRU,HHM7TRP,-1.0
GALLTRU,HHM9MAR,-1.0
GALLTRU,HHM11MAR,-1.0
GALLTRU,HHM12SEX,0.8322397195638238
GALLTRU,HHM12DOB,-0.9412188965466887
GALLTRU,HHM12EDU,0.8962581595302718
GALLTRU,HHM13RELR,-0.9543382533729184
GALLTRU,HHM13DOB,-0.958804497268428
GALLTRU,HHM13EDU,0.8962581595302718
CIGAVGD,HHM12SEX,-1.0000000000000002
HLTHRAT,HHM6TRP,-0.8017837257372731
HLTHRAT,HHM12RELR,-1.0
HLTHRAT,HHM12DOB,0.8029550685469661
HLTHRAT,HHM12EDU,-0.8660254037844387
HLTHRAT,HHM13RELR,0.777713771047819
HLTHRAT,HHM13DOB,0.7679881673845781
HLTHRAT,HHM13EDU,-0.8660254037844387
DISCPRPR,PARTYSUSO,-1.0
DISCPRPR,HHM11SEX,-0.7542530330036968
DISCPRPR,HHM11POB,0.721086856223453
DISCPRPR,HHM12RELR,-0.9966158955401239
DISCPRPR,HHM12DOB,0.8492319348032172
DISCPRPR,HHM12EDU,-0.9041944301794652
DISCPRPR,HHM13RELR,0.8267540335004897
DISCPRPR,HHM13DOB,0.8180350342372709
DISCPRPR,HHM13EDU,-0.9041944301794652
BUSINUSA,BUSINITA,0.7360703938681882
BUSINARM,BUSINARG,0.7730867007500027
BUSINARM,HHM7TRP,-1.0
BUSINARM,HHM8MRAGE,0.828078671210825
BUSINAZE,BUSINTUR,0.7242730948200581
BUSINAZE,BUSINAZG,0.7890165621386361
BUSINAZE,HHM4TAP,0.7380633742323381
BUSINAZE,HHM12RELR,0.8660254037844385
BUSINITA,BUSINUSA,0.7360703938681882
BUSINITA,HHM7TRP,-1.0
BUSINARA,BUSINIRA,0.8139838540889782
BUSINARA,BUSINKUR,0.7044860333265988
BUSINARA,BUSININD,0.7945011681034655
BUSINARA,HHM6TAP,0.9999999999999998
BUSINARA,HHM9MAR,-1.0
BUSINARA,HHM12RELR,0.8660254037844385
BUSINARA,HHM12DOB,-0.9933992677987827
BUSINARA,HHM12EDU,0.9999999999999999
BUSINARA,HHM13RELR,-0.9878291611472619
BUSINARA,HHM13DOB,-0.9853292781642911
BUSINARA,HHM13EDU,0.9999999999999999
BUSINGEO,HHM6TAP,0.9999999999999998
BUSINIRA,BUSINARA,0.8139838540889782
BUSINIRA,BUSININD,0.7943236134592884
BUSINIRA,HHM9MAR,-1.0
BUSINIRA,HHM11MAR,-1.0
BUSINIRA,HHM12RELR,0.8660254037844385
BUSINIRA,HHM12DOB,-0.9933992677987827
BUSINIRA,HHM12EDU,0.9999999999999999
BUSINIRA,HHM13RELR,-0.9878291611472619
BUSINIRA,HHM13DOB,-0.9853292781642911
BUSINIRA,HHM13EDU,0.9999999999999999
BUSINJEW,ENVPROBO,-0.7517421626261009
BUSINJEW,HHM6TAP,0.9999999999999998
BUSINJEW,HHM7TRP,-1.0
BUSINJEW,HHM11MAR,-1.0
BUSINJEW,HHM12RELR,0.8660254037844385
BUSINJEW,HHM12DOB,-0.9933992677987827
BUSINJEW,HHM12EDU,0.9999999999999999
BUSINJEW,HHM13RELR,-0.9878291611472619
BUSINJEW,HHM13DOB,-0.9853292781642911
BUSINJEW,HHM13EDU,0.9999999999999999
BUSINKUR,BUSINARA,0.7044860333265988
BUSINKUR,BUSININD,0.7255216504942502
BUSINKUR,HHM12DOB,-1.0
BUSINKUR,HHM13RELR,-1.0
BUSINKUR,HHM13DOB,-1.0
BUSINRUS,EUNSUPO,-0.7745966692414834
BUSINRUS,HHM6TAP,0.9999999999999998
BUSINRUS,HHM8MRAGE,0.828078671210825
BUSINRUS,HHM9TRW,-1.0
BUSINTUR,BUSINAZE,0.7242730948200581
BUSINTUR,HHM11MAR,-1.0
BUSINTUR,HHM12RELR,0.8660254037844385
BUSINUKR,EUNSUPO,-0.7745966692414834
BUSINUKR,HHM6TAP,0.9999999999999998
BUSINUKR,HHM9MAR,-1.0
BUSINUKR,HHM12RELR,0.8660254037844385
BUSININD,BUSINARA,0.7945011681034655
BUSININD,BUSINIRA,0.7943236134592884
BUSININD,BUSINKUR,0.7255216504942502
BUSININD,HHM6TAP,0.9999999999999998
BUSININD,HHM12RELR,0.8660254037844385
BUSINMOL,HHM6TAP,0.9999999999999998
BUSINMOL,HHM12DOB,-1.0
BUSINMOL,HHM13RELR,-1.0
BUSINMOL,HHM13DOB,-1.0
BUSINABK,BUSINOSS,0.7061678024285145
BUSINABK,HHM8MAR,-0.7150969419341942
BUSINOSS,BUSINABK,0.7061678024285145
BUSINOSS,EUNSUPO,-0.7745966692414834
BUSINOSS,SECNDLAOO,-0.7559289460184544
BUSINARG,BUSINARM,0.7730867007500027
BUSINARG,SECNDLAOO,-0.9449111825230679
BUSINARG,HHM7MAR,-0.760638829255665
BUSINARG,HHM8MAR,-0.7150969419341942
BUSINARG,HHM11DOB,0.9905357830188458
BUSINARG,HHM11EDU,-1.0
BUSINAZG,BUSINAZE,0.7890165621386361
BUSINJW,SECNDLAOO,0.7869470848066686
BUSINJW,HHM5TAP,0.93062958719967
BUSINGA,HHM6TRP,-0.8017837257372731
MARWUSA,MARWITA,0.8432670701671645
MARWUSA,MARWRUS,0.7320221055340338
MARWUSA,MARWUKR,0.7795512680068685
MARWUSA,HHM9MAR,-1.0
MARWUSA,HHM12RELR,0.8660254037844385
MARWUSA,HHM12DOB,-0.9933992677987827
MARWUSA,HHM12EDU,0.9999999999999999
MARWUSA,HHM13RELR,-0.9878291611472619
MARWUSA,HHM13DOB,-0.9853292781642911
MARWUSA,HHM13EDU,0.9999999999999999
MARWARM,MARWARG,0.8436532719925792
MARWARM,HHM7TRP,-1.0
MARWARM,HHM8MRAGE,0.828078671210825
MARWARM,HHM9MAR,-1.0
MARWARM,HHM11MAR,-1.0
MARWAZE,MARWTUR,0.8248445126643066
MARWAZE,MARWAZG,0.875184746022723
MARWAZE,HHM5TAP,0.93062958719967
MARWITA,MARWUSA,0.8432670701671645
MARWITA,MARWJEW,0.7026756060140812
MARWITA,MARWRUS,0.7552399747882715
MARWITA,MARWUKR,0.8033534802874988
MARWITA,HHM5TAP,0.93062958719967
MARWITA,HHM9MAR,-1.0
MARWITA,HHM12RELR,0.8660254037844385
MARWITA,HHM12DOB,-0.9933992677987827
MARWITA,HHM12EDU,0.9999999999999999
MARWITA,HHM13RELR,-0.9878291611472619
MARWITA,HHM13DOB,-0.9853292781642911
