Variable 1,Label 1,Variable 2,Label 2,Correlation
COUNTRY,Country,ID,Case ID,0.763992865462813
COUNTRY,Country,PARTYSUPP,Which political party is closest to you?,0.73095844682089
COUNTRY,Country,PARTYSUPS,Towards which political party do you have the most sympathy for?,0.7182537919275188
COUNTRY,Country,ETHNIC,Which ethnic group do you consider yourself a part of?,0.8494716513488983
COUNTRY,Country,RESPTAP,Respondent's travel place for work (abroad),0.8213748957214924
COUNTRY,Country,HHM2TAP,2nd HH member's travel place for work (abroad),0.7655925707934323
COUNTRY,Country,HHM3TAP,3rd HH member's travel place for work (abroad),0.8910125270431525
COUNTRY,Country,HHM4TAP,4th HH member's travel place for work (abroad),0.9085324256143114
COUNTRY,Country,HHM8MRAGE,8th HH member: Age when s/he got married,-0.8183170883849715
COUNTRY,Country,HHM12SEX,12th HH member: gender,-1.0
COUNTRY,Country,SUBSTRATUM,Substratum,0.9996594559376609
COUNTRY,Country,C1_DATE,1st contact date,-0.9963164323125742
COUNTRY,Country,C1_TIME,1st contact time,0.9999999999588591
COUNTRY,Country,C2_TIME,2nd contact time,0.9999999897760504
COUNTRY,Country,C3_DATE,3rd contact date,0.924169024445821
COUNTRY,Country,C3_TIME,3rd contact time,0.999999998860165
COUNTRY,Country,INT_DATE,Interview date,-0.9962470129439509
COUNTRY,Country,INT_START,Interview start time,0.9999999999540334
COUNTRY,Country,INT_END,Interview end time,0.9999999988001999
COUNTRY,Country,INT_DUR,Interview duration,0.9999999990465617
COUNTRY,Country,PSU,Cluster,0.763992864206972
COUNTRY,Country,INTLANG,Interview language,0.9553029152038179
ID,Case ID,COUNTRY,Country,0.763992865462813
ID,Case ID,RESPTAP,Respondent's travel place for work (abroad),0.7719608927059445
ID,Case ID,HHM2TAP,2nd HH member's travel place for work (abroad),0.7655655673765464
ID,Case ID,HHM3TAP,3rd HH member's travel place for work (abroad),0.857818776070778
ID,Case ID,HHM4TAP,4th HH member's travel place for work (abroad),0.8319650503749396
ID,Case ID,HHM8MRAGE,8th HH member: Age when s/he got married,-0.9041809982638604
ID,Case ID,HHM12SEX,12th HH member: gender,-0.9996395306297555
ID,Case ID,SUBSTRATUM,Substratum,0.7721232397661232
ID,Case ID,C1_DATE,1st contact date,-0.7610245294512558
ID,Case ID,C1_TIME,1st contact time,0.7639923764871823
ID,Case ID,C2_TIME,2nd contact time,0.7639923997799126
ID,Case ID,C3_TIME,3rd contact time,0.7639924592438236
ID,Case ID,INT_DATE,Interview date,-0.7622845851502137
ID,Case ID,INT_START,Interview start time,0.7639925170180608
ID,Case ID,INT_END,Interview end time,0.7639923856593155
ID,Case ID,INT_DUR,Interview duration,0.7639927720955462
ID,Case ID,PSU,Cluster,1.0000000000000004
ID,Case ID,INTLANG,Interview language,0.7306241019793313
SETTYPE,Stratum,EUNSUPO,What is the main reason you would not support COUNTRY's membership in the EU? Ot,-0.7745966692414834
SETTYPE,Stratum,HHM11DOB,11th HH member: year of birth,0.705462390987797
SETTYPE,Stratum,HHM12RELR,12th HH member: relationship to the respondent,-0.8660254037844387
SETTYPE,Stratum,HHM12DOB,12th HH member: year of birth,0.9933992677987828
SETTYPE,Stratum,HHM12EDU,12th HH member: Level of education achieved to date,-1.0
SETTYPE,Stratum,HHM13RELR,13th HH member: relationship to the respondent,0.987829161147262
SETTYPE,Stratum,HHM13DOB,13th HH member: year of birth,0.9853292781642911
SETTYPE,Stratum,HHM13EDU,13th HH member: Level of education achieved to date,-1.0
INDWT,Weight for individual-level questions,PARTYSUSO,Towards which political party do you have the most sympathy for? Other specified,-1.0
INDWT,Weight for individual-level questions,HHM5TAP,5th HH member's travel place for work (abroad),0.7082426427507145
INDWT,Weight for individual-level questions,HHM7TRP,7th HH member's travel place for work (inside country),-1.0
