Variable,Value,Label
RESPAGE,1.0,18/35
RESPAGE,2.0,36/55
RESPAGE,3.0,56+
FATEINLF,-9.0,Break off
FATEINLF,-7.0,Legal skip
FATEINLF,-3.0,Interviewer error
FATEINLF,-2.0,Refuse to answer
FATEINLF,-1.0,Don't know
FATEINLF,1.0,Everything in life is determined by fate
FATEINLF,10.0,People shape their fate themselves
BUSINRUS,-9.0,Break off
BUSINRUS,-7.0,Legal skip
BUSINRUS,-3.0,Interviewer error
BUSINRUS,-2.0,Refuse to answer
BUSINRUS,-1.0,Don't know
BUSINRUS,0.0,Disapprove
BUSINRUS,1.0,Approve
BUSINTUR,-9.0,Break off
BUSINTUR,-7.0,Legal skip
BUSINTUR,-3.0,Interviewer error
BUSINTUR,-2.0,Refuse to answer
BUSINTUR,-1.0,Don't know
BUSINTUR,0.0,Disapprove
BUSINTUR,1.0,Approve
BUSINGA,-9.0,Break off
BUSINGA,-7.0,Legal skip
BUSINGA,-3.0,Interviewer error
BUSINGA,-2.0,Refuse to answer
BUSINGA,-1.0,Don't know
BUSINGA,0.0,Disapprove
BUSINGA,1.0,Approve
NEIGHBOR,-9.0,Break off
NEIGHBOR,-7.0,Legal skip
NEIGHBOR,-5.0,I would not wish any of these people as my neighbors
NEIGHBOR,-3.0,Interviewer error
NEIGHBOR,-2.0,Refuse to answer
NEIGHBOR,-1.0,Don't know
NEIGHBOR,1.0,People following a religion that is different to yours
NEIGHBOR,2.0,People having political views that are different to yours
NEIGHBOR,3.0,Europeans who come to live in COUNTRY and want to stay
NEIGHBOR,4.0,Asians who come to live in COUNTRY and want to stay
NEIGHBOR,5.0,Drug addicts
NEIGHBOR,6.0,Homosexuals
NEIGHBOR,7.0,Black people
NEIGHBOR,8.0,Criminals
NEIGHBOR,9.0,Other
USSRDISS,-9.0,Break off
USSRDISS,-7.0,Legal skip
USSRDISS,-3.0,Interviewer error
USSRDISS,-2.0,Refuse to answer
USSRDISS,-1.0,Don't know
USSRDISS,1.0,A good thing
USSRDISS,2.0,A bad thing
EUSUPP,-9.0,Break off
EUSUPP,-7.0,Legal skip
EUSUPP,-3.0,Interviewer error
EUSUPP,-2.0,Refuse to answer
EUSUPP,-1.0,Don't know
EUSUPP,1.0,Do not support at all
EUSUPP,2.0,Rather not support
EUSUPP,3.0,"Partially support, partially do not support"
EUSUPP,4.0,Rather support
EUSUPP,5.0,Fully support
EEUSUPNA,-9.0,Break off
EEUSUPNA,-7.0,Legal skip
EEUSUPNA,-3.0,Interviewer error
EEUSUPNA,-2.0,Refuse to answer
EEUSUPNA,-1.0,Don't know
EEUSUPNA,1.0,Don’t support at all
EEUSUPNA,2.0,Rather not support
EEUSUPNA,3.0,"Partially support, partially don’t support"
EEUSUPNA,4.0,Rather support
EEUSUPNA,5.0,Fully support
EEUNSUW,-9.0,Break off
EEUNSUW,-7.0,Legal skip
EEUNSUW,-3.0,Interviewer error
EEUNSUW,-2.0,Refuse to answer
EEUNSUW,-1.0,Don't know
EEUNSUW,1.0,It will not benefit my country
EEUNSUW,2.0,It would restrict our independence
EEUNSUW,3.0,It would harm our culture and traditions
EEUNSUW,4.0,Peoples economic conditions would worsen
EEUNSUW,5.0,It would hinder our relations with the West
EEUNSUW,6.0,We would be less protected from foreign threats
EEUNSUW,7.0,There would be less chance to restore territorial integrity
EEUNSUW,8.0,"Everyday life will become more dangerous, less safe"
EEUNSUW,9.0,Other
EEUSUPW,-7.0,Legal skip
EEUSUPW,-2.0,Refuse to answer
EEUSUPW,-1.0,Don't know
