Variable,Description
CBYEAR,Year
COUNTRY,Country
ID,Case ID
RESPONSE,Response
STRATUM,Stratum
INDWT,Weight for individual-level questions
RESPSEX,Respondent's sex
RESPAGE,Respondent's age
FEELTRU,Describes your feelings_There are many people I can trust completely
FEELEMP,Describes your feelings_I experience a general feeling of emptiness
FEELCLS,Describes your feelings_There are enough people to whom I feel close
FEELRLY,Describes your feelings_ plenty of people I can rely on when I have problems
FEELREJ,Describes your feelings_I often feel rejected
GALLTRU,Most people can be trusted or you cannot be too careful
LIFESAT,How satisfied are you with your own life as a whole nowadays
FATEINLF,Everything in life is determined by fate vs People shape their fate themselves
BUSINUSA,Approve or disapprove doing business with American
BUSINARM,Approve or disapprove doing business with Armenian
BUSINAZE,Approve or disapprove doing business with Azerbaijani
BUSINITA,Approve or disapprove doing business with Italian
BUSINARA,Approve or disapprove doing business with Arab
BUSINGEO,Approve or disapprove doing business with Georgian
BUSINIRA,Approve or disapprove doing business with Iranian
BUSINJEW,Approve or disapprove doing business with Jew
BUSINKUR,"Approve or disapprove doing business with Kurd, Yezidi"
BUSINRUS,Approve or disapprove doing business with Russian
BUSINTUR,Approve or disapprove doing business with Turk
BUSINUKR,Approve or disapprove doing business with Ukrainian
BUSININD,Approve or disapprove doing business with Indians
BUSINMOL,Approve or disapprove doing business with Molocans
BUSINFRE,Approve or disapprove doing business with French
BUSINCHI,Approve or disapprove doing business with Chinese
BUSINABK,Approve or disapprove doing business with Abkhaz
BUSINOSS,Approve or disapprove doing business with Ossetian
BUSINARG,Approve or disapprove doing business with Armenian living in Georgia
BUSINAZG,Approve or disapprove doing business with Azerbaijani living in Georgia
BUSINCN,Approve or disapprove doing business with Chinese
BUSINJW,Whether you approve or disapprove people doing business with a Jehovah's Witness
BUSINGA, Whether you approve or disapprove of people doing business with a homosexual
MARWUSA,Approve or disapprove of women of your ethnicity marrying American
MARWARM,Approve or disapprove of women of your ethnicity marrying Armenian
MARWAZE,Approve or disapprove of women of your ethnicity marrying Azerbaijani
MARWITA,Approve or disapprove of women of your ethnicity marrying Italian
MARWARA,Approve or disapprove of women of your ethnicity marrying Arab
MARWGEO,Approve or disapprove of women of your ethnicity marrying Georgian
MARWIRA,Approve or disapprove of women of your ethnicity marrying Iranian
MARWJEW,Approve or disapprove of women of your ethnicity marrying Jew
MARWKUR,"Approve or disapprove of women of your ethnicity marrying Kurd, Yezidi"
MARWRUS,Approve or disapprove of women of your ethnicity marrying Russian
MARWTUR,Approve or disapprove of women of your ethnicity marrying Turk
MARWUKR,Approve or disapprove of women of your ethnicity marrying Ukrainian
MARWIND,Approve or disapprove of women of your ethnicity marrying Indians
MARWMOL,Approve or disapprove of women of your ethnicity marrying Molocan
MARWFRE,Approve or disapprove of women of your ethnicity marrying French
MARWABK,Approve or disapprove of women of your ethnicity marrying Abkhaz
MARWOSS,Approve or disapprove of women of your ethnicity marrying Ossetian
MARWARG,Approve or disapprove of women of your ethnicity marrying Armenian in Georgia
MARWAZG,Approve or disapprove of women of your ethnicity marrying Azeri in Georgia
MARWCN,Approve or disapprove of women of your ethnicity marrying Chinese
MARWJW,Approve or disapprove of people like you marrying a Jehovah's Witness
NEIGHBOR,Which of these people would you not wish to have your neighbors most
NEIGHBOROS,Which of these people would you not wish to have your neighbors most/other
INFOSOU1,which is your first main source of information about Georgia's current events
