Variable,Description,Value,Value Label
RESPAGE,Respondent's age,1.0,18/35
RESPAGE,Respondent's age,2.0,36/55
RESPAGE,Respondent's age,3.0,56+
LIFESAT,Label not found,,
INFOSOU1,Label not found,,
TRUMTVINFO,Label not found,,
FATEINLF,Please tell me which comes closest to your view?,-9.0,Break off
FATEINLF,Please tell me which comes closest to your view?,-7.0,Legal skip
FATEINLF,Please tell me which comes closest to your view?,-3.0,Interviewer error
FATEINLF,Please tell me which comes closest to your view?,-2.0,Refuse to answer
FATEINLF,Please tell me which comes closest to your view?,-1.0,Don't know
FATEINLF,Please tell me which comes closest to your view?,1.0,Everything in life is determined by fate
FATEINLF,Please tell me which comes closest to your view?,10.0,People shape their fate themselves
BUSINRUS,Do you approve or disapprove doing business with a Russian?,-9.0,Break off
BUSINRUS,Do you approve or disapprove doing business with a Russian?,-7.0,Legal skip
BUSINRUS,Do you approve or disapprove doing business with a Russian?,-3.0,Interviewer error
BUSINRUS,Do you approve or disapprove doing business with a Russian?,-2.0,Refuse to answer
BUSINRUS,Do you approve or disapprove doing business with a Russian?,-1.0,Don't know
BUSINRUS,Do you approve or disapprove doing business with a Russian?,0.0,Disapprove
BUSINRUS,Do you approve or disapprove doing business with a Russian?,1.0,Approve
BUSINTUR,Do you approve or disapprove doing business with a Turk?,-9.0,Break off
BUSINTUR,Do you approve or disapprove doing business with a Turk?,-7.0,Legal skip
BUSINTUR,Do you approve or disapprove doing business with a Turk?,-3.0,Interviewer error
BUSINTUR,Do you approve or disapprove doing business with a Turk?,-2.0,Refuse to answer
BUSINTUR,Do you approve or disapprove doing business with a Turk?,-1.0,Don't know
BUSINTUR,Do you approve or disapprove doing business with a Turk?,0.0,Disapprove
BUSINTUR,Do you approve or disapprove doing business with a Turk?,1.0,Approve
BUSINGA,Whether you approve or disapprove of people doing business with a homosexual?,-9.0,Break off
BUSINGA,Whether you approve or disapprove of people doing business with a homosexual?,-7.0,Legal skip
BUSINGA,Whether you approve or disapprove of people doing business with a homosexual?,-3.0,Interviewer error
BUSINGA,Whether you approve or disapprove of people doing business with a homosexual?,-2.0,Refuse to answer
BUSINGA,Whether you approve or disapprove of people doing business with a homosexual?,-1.0,Don't know
BUSINGA,Whether you approve or disapprove of people doing business with a homosexual?,0.0,Disapprove
BUSINGA,Whether you approve or disapprove of people doing business with a homosexual?,1.0,Approve
NEIGHBOR,Which of these people would you not wish to have your neighbors most?,-9.0,Break off
NEIGHBOR,Which of these people would you not wish to have your neighbors most?,-7.0,Legal skip
NEIGHBOR,Which of these people would you not wish to have your neighbors most?,-5.0,I would not wish any of these people as my neighbors
NEIGHBOR,Which of these people would you not wish to have your neighbors most?,-3.0,Interviewer error
NEIGHBOR,Which of these people would you not wish to have your neighbors most?,-2.0,Refuse to answer
NEIGHBOR,Which of these people would you not wish to have your neighbors most?,-1.0,Don't know
NEIGHBOR,Which of these people would you not wish to have your neighbors most?,1.0,People following a religion that is different to yours
NEIGHBOR,Which of these people would you not wish to have your neighbors most?,2.0,People having political views that are different to yours
NEIGHBOR,Which of these people would you not wish to have your neighbors most?,3.0,Europeans who come to live in COUNTRY and want to stay
NEIGHBOR,Which of these people would you not wish to have your neighbors most?,4.0,Asians who come to live in COUNTRY and want to stay
NEIGHBOR,Which of these people would you not wish to have your neighbors most?,5.0,Drug addicts
NEIGHBOR,Which of these people would you not wish to have your neighbors most?,6.0,Homosexuals
NEIGHBOR,Which of these people would you not wish to have your neighbors most?,7.0,Black people
NEIGHBOR,Which of these people would you not wish to have your neighbors most?,8.0,Criminals
NEIGHBOR,Which of these people would you not wish to have your neighbors most?,9.0,Other
USSRDISS,Was the dissolution of the Soviet Union a good thing or a bad thing for COUNTRY?,-9.0,Break off
USSRDISS,Was the dissolution of the Soviet Union a good thing or a bad thing for COUNTRY?,-7.0,Legal skip
USSRDISS,Was the dissolution of the Soviet Union a good thing or a bad thing for COUNTRY?,-3.0,Interviewer error
USSRDISS,Was the dissolution of the Soviet Union a good thing or a bad thing for COUNTRY?,-2.0,Refuse to answer
USSRDISS,Was the dissolution of the Soviet Union a good thing or a bad thing for COUNTRY?,-1.0,Don't know
USSRDISS,Was the dissolution of the Soviet Union a good thing or a bad thing for COUNTRY?,1.0,A good thing
USSRDISS,Was the dissolution of the Soviet Union a good thing or a bad thing for COUNTRY?,2.0,A bad thing
