Variable,Description
CBYEAR,Year
COUNTRY,Country
ID,Case ID
RESPONSE,Response
AAPOR,AAPOR disposition code
SETTYPE,Stratum
INDWT,Weight for individual-level questions
RESPSEX,Respondent's sex
RESPAGE,Respondent's age
AGEGROUP,Age groups
ACTCHORE,Helped a neighbor or a friend with some household chores or childcare?
ACTRESDT,Helped someone to resolve a dispute?
ACTCLEAN,Helped cleaning public space?
ACTTHEA,Went to a theatre or cinema?
ACTREST,Went to a restaurant?
ACTVLNT,Did volunteer work without expecting compensation?
ACTCOMM,Made a comment online?
ACTDNCH,Donated money to a church or mosque?
ACTNRCHN,Donated money to a nonreligious charity?
ACTPBLM,Attended a public meeting?
ACTSPET,"Signed a petition or a demand, request?"
ACTDON,Made a donation to a trustworthy organization
RATEHAP,How happy would you say you are?
EMONOW,How do you feel now?
GALLTRU,Most people can be trusted or you cannot be too careful?
CIGAVGD,"On average, how many cigarettes do you smoke per day?"
HLTHRAT,"Overall, how would you rate your health?"
DISCPRPR,How often do you discuss private problems with your close relatives and friends?
BUSINUSA,Do you approve or disapprove doing business with an American?
BUSINARM,Do you approve or disapprove doing business with an Armenian?
BUSINAZE,Do you approve or disapprove doing business with an Azerbaijani?
BUSINITA,Do you approve or disapprove doing business with an Italian?
BUSINARA,Do you approve or disapprove doing business with an Arab?
BUSINGEO,Do you approve or disapprove doing business with a Georgian?
BUSINIRA,Do you approve or disapprove doing business with an Iranian?
BUSINJEW,Do you approve or disapprove doing business with a Jew?
BUSINKUR,"Do you approve or disapprove doing business with a Kurd, Yezidi?"
BUSINRUS,Do you approve or disapprove doing business with a Russian?
BUSINTUR,Do you approve or disapprove doing business with a Turk?
BUSINUKR,Do you approve or disapprove doing business with a Ukrainian?
BUSININD,Do you approve or disapprove doing business with an Indian?
BUSINMOL,Do you approve or disapprove doing business with an Molokans?
BUSINABK,Do you approve or disapprove doing business with an Abkhaz?
BUSINOSS,Do you approve or disapprove doing business with an Ossetian?
BUSINARG,Do you approve or disapprove doing business with an Armenian living in Georgia?
BUSINAZG,Do you approve or disapprove doing business with an Azerbaijani living in Georgi
BUSINJW,Whether you approve or disapprove people doing business with a Jehovah's Witness
BUSINGA,Whether you approve or disapprove of people doing business with a homosexual?
MARWUSA,Approve or disapprove of women of your ethnicity marrying an American?
MARWARM,Approve or disapprove of women of your ethnicity marrying an Armenian?
MARWAZE,Approve or disapprove of women of your ethnicity marrying an Azerbaijani?
MARWITA,Approve or disapprove of women of your ethnicity marrying an Italian?
MARWARA,Approve or disapprove of women of your ethnicity marrying an Arab?
MARWGEO,Approve or disapprove of women of your ethnicity marrying a Georgian?
MARWIRA,Approve or disapprove of women of your ethnicity marrying an Iranian?
MARWJEW,Approve or disapprove of women of your ethnicity marrying a Jew?
MARWKUR,"Approve or disapprove of women of your ethnicity marrying a Kurd, Yezidi?"
MARWRUS,Approve or disapprove of women of your ethnicity marrying a Russian?
MARWTUR,Approve or disapprove of women of your ethnicity marrying a Turk?
MARWUKR,Approve or disapprove of women of your ethnicity marrying a Ukrainian?
MARWIND,Approve or disapprove of women of your ethnicity marrying an Indian?
MARWMOL,Would you approve or disapprove of women of your ethnicity marrying a Molokan?
MARWABK,Approve or disapprove of women of your ethnicity marrying an Abkhaz?
MARWOSS,Approve or disapprove of women of your ethnicity marrying an Ossetian?
